"subregion","region","pop","income","ipaddr","ufo2010"
"jefferson","illinois",38720,42679,34834,0
"jefferson","indiana",32554,43635,20590,0
"jefferson","iowa",16867,47784,31182,1
"jefferson","kansas",18945,58083,5606,0
"jefferson","kentucky",750828,46298,1254075,68
"jefferson","louisiana",433676,48374,415610,12
"jefferson","mississippi",7638,20375,1210,0
"jefferson","missouri",220209,56400,127608,11
"jefferson","montana",11401,59284,18710,3
"jefferson","nebraska",7521,42979,5866,0
"jefferson","new york",120262,45559,91159,5
"jefferson","ohio",68389,39453,37829,2
"jefferson","oklahoma",6377,34256,1785,1
"jefferson","oregon",21749,42867,12149,6
"jefferson","pennsylvania",44764,40058,24700,2
"jefferson","tennessee",52191,38015,26800,6
"jefferson","texas",251813,42883,205054,8
"jefferson","washington",29854,46887,8207,6
"jefferson","west virginia",54504,65285,47166,5
"jefferson","wisconsin",84498,55615,50724,6
"jefferson davis","louisiana",31432,43585,10403,4
"jefferson davis","mississippi",12032,25842,5495,1
"jenkins","georgia",9213,25467,1025,0
"jennings","indiana",28161,44815,14027,1
"jerauld","south dakota",2047,43705,636,0
"jerome","idaho",22499,39232,4962,0
"jersey","illinois",22742,54469,23587,1
"jessamine","kentucky",49635,48547,59347,2
"jewell","kansas",3046,39713,891,1
"jim hogg","texas",5249,36752,1020,0
"jim wells","texas",41754,37413,13552,1
"jo daviess","illinois",22549,52487,13963,3
"johnson","arkansas",25901,31400,14745,8
"johnson","georgia",9897,31301,1528,0
"johnson","illinois",12760,42172,8085,0
"johnson","indiana",143191,62754,94896,13
"johnson","iowa",136317,53703,383947,16
"johnson","kansas",559913,74761,1067354,57
"johnson","kentucky",23383,32421,12749,0
"johnson","missouri",54397,47268,95950,9
"johnson","nebraska",5140,43643,2812,0
"johnson","tennessee",18095,32159,7577,1
"johnson","texas",153441,55970,103207,14
"johnson","wyoming",8615,55094,7482,1
"johnston","north carolina",174938,49888,124433,7
"johnston","oklahoma",11003,35789,3436,0
"jones","georgia",28577,51265,11352,1
"jones","iowa",20639,50745,12337,1
"jones","mississippi",68641,37643,29827,4
"jones","north carolina",10275,40687,10940,1
"jones","south dakota",1013,50795,255,0
"jones","texas",19973,37872,21039,0
"josephine","oregon",82930,37824,60174,23
"juab","utah",10341,54000,13020,1
"judith basin","montana",2024,40046,374,0
"juneau","wisconsin",26631,45507,17449,1
"juniata","pennsylvania",24904,45496,7510,0
"kalamazoo","michigan",254580,46019,361967,12
"kalkaska","michigan",17099,39130,7514,0
"kanabec","minnesota",16005,46863,4093,0
"kanawha","west virginia",192179,44265,178199,11
"kandiyohi","minnesota",42379,49915,27367,3
"kane","illinois",522487,69496,800512,27
"kane","utah",7221,45439,7150,1
"kankakee","illinois",113040,49266,53779,9
"karnes","texas",15233,39297,6041,0
"kaufman","texas",106753,60575,66618,8
"kay","oklahoma",45831,40164,25002,1
"kearney","nebraska",6485,54611,1401,0
"kearny","kansas",3968,50612,1148,0
"keith","nebraska",8220,42705,5114,2
"kemper","mississippi",10335,25584,2330,0
"kendall","illinois",118105,82649,74475,3
"kendall","texas",35956,72092,22513,2
"kenedy","texas",431,45625,0,0
"kennebec","maine",121853,46904,192532,19
"kenosha","wisconsin",167936,54846,172597,14
"kent","delaware",167626,54783,301541,19
"kent","maryland",20191,53480,25162,3
"kent","michigan",614462,50801,988022,20
"kent","rhode island",164843,61279,154116,11
"kent","texas",839,43750,0,1
"kenton","kentucky",161711,53375,163576,6
"keokuk","iowa",10374,42030,3569,0
"kern","california",856158,48021,557822,67
"kerr","texas",49786,44529,61999,3
"kershaw","south carolina",62343,43509,53938,3
"kewaunee","wisconsin",20624,54783,10987,1
"keweenaw","michigan",2215,39821,429,0
"keya paha","nebraska",804,38125,382,2
"kidder","north dakota",2426,37105,892,1
"kimball","nebraska",3783,43191,4124,0
"kimble","texas",4560,43653,1529,5
"king","texas",276,61250,0,0
"king","washington",2007440,70567,5107300,218
"king and queen","virginia",7046,48170,3826,1
"king george","virginia",24500,82173,30727,2
"king william","virginia",15981,64982,25360,1
"kingfisher","oklahoma",15005,52130,20236,3
"kingman","kansas",7863,45817,3944,6
"kings","california",151364,48838,76101,19
"kings","new york",2565635,44593,1670704,0
"kingsbury","south dakota",5220,47152,3686,0
"kinney","texas",3603,25703,255,1
"kiowa","colorado",1444,41542,445,0
"kiowa","kansas",2496,39496,11253,0
"kiowa","oklahoma",9310,33068,2040,1
"kit carson","colorado",8094,43194,1937,2
"kitsap","washington",254991,61112,110505,17
"kittitas","washington",41672,42769,46493,12
"kittson","minnesota",4493,50049,7756,0
"klamath","oregon",65912,41787,38361,16
"kleberg","texas",32025,37222,81719,4
"klickitat","washington",20699,38774,11657,21
"knott","kentucky",16124,31735,28728,3
"knox","illinois",52247,40112,41594,13
"knox","indiana",38122,40391,83328,2
"knox","kentucky",31735,22364,8678,0
"knox","maine",39668,46845,38521,6
"knox","missouri",4082,34596,1911,0
"knox","nebraska",8573,38965,3590,1
"knox","ohio",60705,48734,187842,3
"knox","tennessee",441311,47277,775204,37
"knox","texas",3789,32646,1401,0
"koochiching","minnesota",13208,41135,13164,3
"kootenai","idaho",142357,48075,102354,7
"kosciusko","indiana",77609,51141,66226,8
"kossuth","iowa",15346,49548,9057,2
"la crosse","wisconsin",116461,50510,430486,15
"la moure","north dakota",4114,49922,3189,0
"la plata","colorado",52401,56910,66304,2
"la porte","indiana",111246,46934,125538,2
"la salle","illinois",112973,52469,58888,1
"la salle","louisiana",14927,42066,7193,0
"la salle","texas",7109,25313,1786,2
"labette","kansas",21284,40587,10263,3
"lac qui parle","minnesota",7109,48269,10859,0
"lackawanna","pennsylvania",214477,45185,466948,12
"laclede","missouri",35417,39697,21637,2
"lafayette","arkansas",7447,30152,2553,1
"lafayette","florida",8804,49713,2171,0
"lafayette","louisiana",227055,48591,362916,10
"lafayette","mississippi",49495,41166,95680,0
"lafayette","missouri",33080,50000,19900,4
"lafayette","wisconsin",16853,49850,7591,0
"lafourche","louisiana",97029,49262,46954,4
"lagrange","indiana",37521,47057,10087,0
"lake","california",63983,39525,28713,16
"lake","colorado",7338,40543,4603,0
"lake","florida",303186,47509,234106,24
"lake","illinois",702120,79666,1510252,34
"lake","indiana",493618,49443,423231,170
"lake","michigan",11498,30639,2150,2
"lake","minnesota",10818,47450,15312,4
"lake","montana",28986,38268,20166,6
"lake","ohio",229582,55968,228720,6
"lake","oregon",7771,36583,4214,6
"lake","south dakota",11771,46412,70130,0
"lake","tennessee",7690,26797,516,0
"lake of the woods","minnesota",3973,43523,1402,0
"lamar","alabama",14259,34711,2288,0
"lamar","georgia",18057,39684,11919,0
"lamar","mississippi",57786,50075,27038,5
"lamar","texas",49811,40050,25560,9
"lamb","texas",14008,35589,4854,1
"lamoille","vermont",24958,53368,24892,2
"lampasas","texas",20107,48760,15986,1
"lancaster","nebraska",293407,51059,602944,47
"lancaster","pennsylvania",526823,55816,631773,36
"lancaster","south carolina",79089,40034,118962,3
"lancaster","virginia",11236,46625,5081,1
"lander","nevada",5941,69814,2333,1
"lane","kansas",1704,41536,1912,0
"lane","oregon",354542,42621,753240,93
"langlade","wisconsin",19646,42045,21798,3
"lanier","georgia",10400,40878,3348,0
"lapeer","michigan",88173,54240,76375,7
"laramie","wyoming",94483,54156,635108,16
"larimer","colorado",310487,57215,2158326,66
"larue","kentucky",14151,37920,6381,1
"las animas","colorado",14945,40617,6322,0
"lassen","california",33658,52484,37438,1
"latah","idaho",38184,39578,164671,5
"latimer","oklahoma",11019,42610,3482,0
"lauderdale","alabama",92542,39702,43300,5
"lauderdale","mississippi",80220,35420,40896,2
"lauderdale","tennessee",27718,34078,22593,0
"laurel","kentucky",59462,37286,35109,5
"laurens","georgia",48041,37640,20909,4
"laurens","south carolina",66223,38713,23418,5
"lavaca","texas",19468,43570,4674,0
"lawrence","alabama",33838,40009,8557,4
"lawrence","arkansas",17012,32337,4511,1
"lawrence","illinois",16604,38326,8570,1
"lawrence","indiana",46078,43195,30019,0
"lawrence","kentucky",15848,32279,9048,1
"lawrence","mississippi",12551,37000,1798,0
"lawrence","missouri",38467,39829,5586,0
"lawrence","ohio",62109,38639,24587,7
"lawrence","pennsylvania",89871,43821,52996,0
"lawrence","south dakota",24397,45137,30713,4
"lawrence","tennessee",42086,35737,24680,1
"le flore","oklahoma",49873,36815,24923,9
"le sueur","minnesota",27677,58074,19388,0
"lea","new mexico",66338,46781,52599,6
"leake","mississippi",23297,32537,6955,1
"leavenworth","kansas",77739,62853,90329,9
"lebanon","pennsylvania",135251,53474,134102,7
"lee","alabama",147257,42320,169312,10
"lee","arkansas",10216,25270,1679,0
"lee","florida",645293,49444,501247,39
"lee","georgia",28746,58252,14449,6
"lee","illinois",35037,49451,33154,4
"lee","iowa",35617,42437,16738,7
"lee","kentucky",7706,24674,3067,0
"lee","mississippi",85042,41150,42354,4
"lee","north carolina",59715,44836,58083,0
"lee","south carolina",18654,27011,2180,0
"lee","texas",16601,45754,4180,0
"lee","virginia",25474,32588,8522,0
"leelanau","michigan",21607,55247,15962,3
"leflore","mississippi",30948,22353,24244,0
"lehigh","pennsylvania",355245,54312,677664,24
"lemhi","idaho",7758,40270,4262,1
"lenawee","michigan",98987,48595,91818,14
"lenoir","north carolina",59227,33749,24912,3
"leon","florida",283769,45827,1531593,25
"leon","texas",16803,42150,13007,3
"leslie","kentucky",11170,29050,5991,1
"letcher","kentucky",23952,29564,7876,3
"levy","florida",40025,35920,28140,6
"lewis","idaho",3889,35344,0,0
"lewis","kentucky",13835,27181,6233,1
"lewis","missouri",10174,40579,5756,1
"lewis","new york",27224,44281,13025,2
"lewis","tennessee",11896,32337,3950,0
"lewis","washington",75621,44373,39811,17
"lewis","west virginia",16371,34617,7528,0
"lewis and clark","montana",64876,53053,137278,11
"lexington","south carolina",270406,52857,253276,11
"liberty","florida",8276,40893,2167,0
"liberty","georgia",65471,44146,61579,4
"liberty","montana",2392,42674,637,0
"liberty","texas",76571,47460,40497,3
"licking","ohio",167537,54699,173447,10
"limestone","alabama",87654,47199,35388,20
"limestone","texas",23585,42851,7484,0
"lincoln","arkansas",14101,31480,641,0
"lincoln","colorado",5453,43375,2694,1
"lincoln","georgia",7737,36741,3327,0
"lincoln","idaho",5277,45077,1657,0
"lincoln","kansas",3174,41050,134,0
"lincoln","kentucky",24461,33398,14684,3
"lincoln","louisiana",46953,34152,97103,0
"lincoln","maine",34180,48862,20452,5
"lincoln","minnesota",5818,46270,4208,1
"lincoln","mississippi",34900,38438,10801,0
"lincoln","missouri",53354,53726,31231,0
"lincoln","montana",19491,32012,15576,6
"lincoln","nebraska",36099,49521,27616,8
"lincoln","nevada",5405,42662,2296,0
"lincoln","new mexico",20309,44557,14673,1
"lincoln","north carolina",79313,50279,65799,1
"lincoln","oklahoma",34189,41763,18773,1
"lincoln","oregon",46151,41764,31402,7
"lincoln","south dakota",48296,70043,22240,1
"lincoln","tennessee",33503,41454,16600,0
"lincoln","washington",10437,46765,6614,9
"lincoln","west virginia",21627,31880,4466,2
"lincoln","wisconsin",28392,47426,10807,0
"lincoln","wyoming",17961,60543,13300,2
"linn","iowa",215295,55666,731488,27
"linn","kansas",9441,44408,4727,1
"linn","missouri",12484,38211,8097,2
"linn","oregon",118360,46872,64591,21
"lipscomb","texas",3480,55457,3952,0
"litchfield","connecticut",187530,71497,106192,30
"little river","arkansas",12919,38564,2955,2
"live oak","texas",11664,45276,2321,2
"livingston","illinois",38647,52835,13466,2
"livingston","kentucky",9423,40248,5108,3
"livingston","louisiana",131942,57254,60238,8
"livingston","michigan",182838,71694,143013,37
"livingston","missouri",15037,42260,6134,0
"livingston","new york",64810,53231,98914,8
"llano","texas",19085,41837,11365,0
"logan","arkansas",21983,38447,8792,1
"logan","colorado",22631,42324,19060,1
"logan","illinois",30013,48714,14352,3
"logan","kansas",2784,41289,1858,1
"logan","kentucky",26646,35973,14190,1
"logan","nebraska",765,45625,510,0
"logan","north dakota",1924,42069,2805,2
"logan","ohio",45474,47378,43003,2
"logan","oklahoma",43666,50249,16198,1
"logan","west virginia",36168,36562,16060,2
"long","georgia",16048,38785,3700,0
"lonoke","arkansas",69839,51096,9581,6
"lorain","ohio",301478,52194,232868,13
"los alamos","new mexico",18159,104914,405779,0
"los angeles","california",9962789,56266,15529242,815
"loudon","tennessee",49793,50458,38515,4
"loudoun","virginia",336898,120096,13634897,12
"louisa","iowa",11278,50982,2545,1
"louisa","virginia",33430,56502,23716,4
"loup","nebraska",589,36250,0,0
"love","oklahoma",9558,41163,2940,1
"loving","texas",71,78125,0,0
"lowndes","alabama",10857,27905,4552,1
"lowndes","georgia",114552,38535,105929,6
"lowndes","mississippi",59670,37626,19544,3
"lubbock","texas",285760,43983,403579,16
"lucas","iowa",8760,43184,6508,0
"lucas","ohio",437998,41949,711280,41
"luce","michigan",6522,42083,2563,2
"lumpkin","georgia",30611,43704,16971,2
"luna","new mexico",25041,30921,4972,10
"lunenburg","virginia",12588,35210,4764,0
"luzerne","pennsylvania",321027,43296,339786,10
"lycoming","pennsylvania",117168,43788,158217,0
"lyman","south dakota",3789,41389,3591,0
"lynn","texas",5783,46456,2683,0
"lyon","iowa",11757,49938,4927,1
"lyon","kansas",33748,37954,27123,3
"lyon","kentucky",8351,40546,9991,2
"lyon","minnesota",25543,47254,22109,1
"lyon","nevada",51327,46598,13941,1
"mackinac","michigan",11137,39055,1135,1
"macomb","michigan",847383,54087,686424,58
"macon","alabama",20535,29355,15253,0
"macon","georgia",14263,28726,2800,1
"macon","illinois",110122,45987,120974,11
"macon","missouri",15573,37889,6253,1
"macon","north carolina",33869,38653,31892,1
"macon","tennessee",22498,34747,8737,0
"macoupin","illinois",47231,48739,40051,0
"madera","california",152218,47724,67761,9
"madison","alabama",343080,57453,3883554,25
"madison","arkansas",15645,35579,12539,2
"madison","florida",18907,36557,14609,0
"madison","georgia",27922,41407,6382,1
"madison","idaho",37456,33791,78183,0
"madison","illinois",267883,53143,464558,18
"madison","indiana",130348,44035,87165,10
"madison","iowa",15654,56333,5910,4
"madison","kentucky",84786,41876,141477,11
"madison","louisiana",12154,26178,10220,0
"madison","mississippi",98468,59730,218388,4
"madison","missouri",12448,35141,5377,0
"madison","montana",7733,45242,3886,0
"madison","nebraska",35031,45077,31483,0
"madison","new york",72382,53473,185710,5
"madison","north carolina",20742,38063,12249,6
"madison","ohio",43053,54366,18316,2
"madison","tennessee",98656,40667,109540,13
"madison","texas",13677,37437,7413,0
"madison","virginia",13200,59734,5116,8
"magoffin","kentucky",13041,25410,6616,0
"mahaska","iowa",22443,46477,9710,0
"mahnomen","minnesota",5536,39385,3712,0
"mahoning","ohio",235145,40570,242158,21
"major","oklahoma",7683,48012,4763,0
"malheur","oregon",30630,39013,12731,4
"manatee","florida",333895,48181,223315,56
"manistee","michigan",24672,41169,9049,2
"manitowoc","wisconsin",80671,50181,45203,9
"marathon","wisconsin",134735,54316,111932,9
"marengo","alabama",20401,35165,9016,0
"maricopa","arizona",3942169,55099,7206185,713
"maries","missouri",9014,42018,4975,4
"marin","california",256069,89605,588838,38
"marinette","wisconsin",41563,41574,30175,2
"marion","alabama",30327,31799,21897,1
"marion","arkansas",16568,34063,6796,1
"marion","florida",335125,40103,223809,32
"marion","georgia",8711,32610,2439,0
"marion","illinois",38894,40097,8050,4
"marion","indiana",918977,43197,10234761,71
"marion","iowa",33419,53730,33051,3
"marion","kansas",12347,45941,7399,0
"marion","kentucky",20090,38202,9430,1
"marion","mississippi",26442,32117,9733,4
"marion","missouri",28745,40915,4411,1
"marion","ohio",66238,41337,42249,3
"marion","oregon",319985,46191,486521,64
"marion","south carolina",32457,31762,13224,0
"marion","tennessee",28291,39857,19013,0
"marion","texas",10324,31903,6893,3
"marion","west virginia",56678,39870,43424,3
"mariposa","california",17905,49174,13556,7
"marlboro","south carolina",28145,28511,8151,1
"marquette","michigan",67906,45495,75473,6
"marquette","wisconsin",15205,45046,11120,0
"marshall","alabama",94776,38563,43755,6
"marshall","illinois",12327,51642,20810,1
"marshall","indiana",47024,48536,26156,1
"marshall","iowa",40857,47691,156979,3
"marshall","kansas",10022,42464,6894,2
"marshall","kentucky",31344,45605,16605,4
"marshall","minnesota",9449,49636,5610,0
"marshall","mississippi",36612,33279,11608,2
"marshall","oklahoma",15957,39473,3717,3
"marshall","south dakota",4671,41731,4341,0
"marshall","tennessee",30883,41620,20635,4
"marshall","west virginia",32674,37313,10586,4
"martin","florida",148817,53612,143246,18
"martin","indiana",10260,43592,11005,0
"martin","kentucky",12743,23920,3686,0
"martin","minnesota",20475,44791,19921,3
"martin","north carolina",23961,36345,7016,0
"martin","texas",5017,42050,127,0
"mason","illinois",14327,42929,9440,1
"mason","kentucky",17512,40678,11127,0
"mason","michigan",28680,40683,23377,4
"mason","texas",4003,41462,3575,1
"mason","washington",60832,48912,46672,6
"mason","west virginia",27179,36468,12085,3
"massac","illinois",15234,40885,2803,0
"matagorda","texas",36547,43962,83903,3
"mathews","virginia",8884,54118,5615,0
"maury","tennessee",81990,46552,54932,12
"maverick","texas",55365,29504,20293,3
"mayes","oklahoma",41168,42425,17935,0
"mcclain","oklahoma",35613,56128,12028,1
"mccone","montana",1701,50774,382,0
"mccook","south dakota",5610,46964,2039,0
"mccormick","south carolina",9943,36243,3572,0
"mccracken","kentucky",65549,44054,62852,10
"mccreary","kentucky",18069,24292,5101,0
"mcculloch","texas",8313,37861,3857,2
"mccurtain","oklahoma",33203,31328,19422,3
"mcdonald","missouri",22876,37701,7397,4
"mcdonough","illinois",32537,34186,68292,4
"mcdowell","north carolina",44998,35230,28753,4
"mcdowell","west virginia",21326,21967,11361,0
"mcduffie","georgia",21663,36841,16569,2
"mchenry","illinois",308145,76909,250157,19
"mchenry","north dakota",5789,41989,1719,0
"mcintosh","georgia",13839,37194,12394,0
"mcintosh","north dakota",2751,35757,382,0
"mcintosh","oklahoma",20584,32305,8680,0
"mckean","pennsylvania",43127,40721,21615,5
"mckenzie","north dakota",7987,53902,4971,0
"mckinley","new mexico",73016,31947,23292,11
"mclean","illinois",172281,59410,204112,16
"mclean","kentucky",9506,40183,3065,1
"mclean","north dakota",9309,52996,2124,2
"mclennan","texas",238707,41656,288652,20
"mcleod","minnesota",36053,57323,31516,1
"mcminn","tennessee",52416,38604,29058,2
"mcmullen","texas",726,29500,511,0
"mcnairy","tennessee",26180,34953,8263,0
"mcpherson","kansas",29356,53332,23272,3
"mcpherson","nebraska",509,57917,127,0
"mcpherson","south dakota",2439,35065,1146,0
"meade","kansas",4396,49551,1658,0
"meade","kentucky",29237,45007,23424,5
"meade","south dakota",26052,47504,13536,0
"meagher","montana",1924,33846,756,2
"mecklenburg","north carolina",969031,55994,2441449,94
"mecklenburg","virginia",31749,36069,14431,3
"mecosta","michigan",43318,37677,83785,3
"medina","ohio",173684,65578,141009,8
"medina","texas",46765,50101,10942,3
"meeker","minnesota",23061,51929,16514,2
"meigs","ohio",23593,33708,7645,2
"meigs","tennessee",11698,34942,3152,0
"mellette","south dakota",2101,34013,255,0
"menard","illinois",12722,56943,12142,0
"menard","texas",2240,41923,254,0
"mendocino","california",87428,44527,59305,24
"menifee","kentucky",6220,28279,2296,0
"menominee","michigan",23815,42014,9905,2
"merced","california",262305,43945,225112,16
"mercer","illinois",16219,51216,8400,0
"mercer","kentucky",21261,47690,8848,1
"mercer","missouri",3729,34440,1417,0
"mercer","new jersey",368303,73883,1553628,12
"mercer","north dakota",8486,62578,10860,1
"mercer","ohio",40875,51236,20840,1
"mercer","pennsylvania",115655,43504,86990,17
"mercer","west virginia",62523,33704,50736,2
"meriwether","georgia",21273,37028,13795,3
"merrick","nebraska",7780,49262,15451,1
"merrimack","new hampshire",146761,65722,204125,19
"mesa","colorado",147848,52986,102086,2
"metcalfe","kentucky",9969,35199,5612,0
"miami","indiana",36486,39746,10236,10
"miami","kansas",32612,59668,30957,6
"miami","ohio",103060,51438,133285,10
"middlesex","connecticut",165602,77095,349775,17
"middlesex","massachusetts",1537215,79691,32795378,81
"middlesex","new jersey",823041,78622,15951197,40
"middlesex","virginia",10822,53615,11281,0
"midland","michigan",83822,52465,425461,8
"midland","texas",146645,57807,107236,9
"mifflin","pennsylvania",46773,38892,20053,0
"milam","texas",24157,39751,15884,0
"millard","utah",12569,47062,25695,1
"mille lacs","minnesota",25740,46100,32675,1
"miller","arkansas",43634,40200,71697,5
"miller","georgia",5969,33248,637,0
"miller","missouri",24817,36411,7633,0
"mills","iowa",14837,61796,10834,2
"mills","texas",4828,38138,2680,0
"milwaukee","wisconsin",955205,43397,1954958,47
"miner","south dakota",2326,42361,1531,0
"mineral","colorado",709,54375,220,0
"mineral","montana",4167,36261,1264,1
"mineral","nevada",4653,31108,895,0
"mineral","west virginia",27956,34691,26910,2
"mingo","west virginia",26103,32794,8546,1
"minidoka","idaho",20037,43194,11117,0
"minnehaha","south dakota",175037,52758,267113,16
"missaukee","michigan",15031,39735,5961,4
"mississippi","arkansas",45562,34267,11434,2
"mississippi","missouri",14322,28474,2167,1
"missoula","montana",110977,43895,306013,25
"mitchell","georgia",23144,37597,9988,1
"mitchell","iowa",10725,49389,9455,0
"mitchell","kansas",6355,45237,14329,2
"mitchell","north carolina",15368,36165,6622,5
"mitchell","texas",9336,41281,5499,0
"mobile","alabama",413936,42187,221263,10
"modoc","california",9327,35402,5998,6
"moffat","colorado",13200,50758,10800,5
"mohave","arizona",203334,40573,166115,69
"moniteau","missouri",15625,50887,2200,4
"monmouth","new jersey",629384,83842,5408900,44
"mono","california",14348,60469,18757,6
"monona","iowa",9124,42283,5029,2
"monongalia","west virginia",100332,41325,191444,15
"monroe","alabama",22602,29849,16150,0
"monroe","arkansas",7828,28306,3074,0
"monroe","florida",74809,53889,0,0
"monroe","georgia",26637,48632,10903,1
"monroe","illinois",33357,69291,21349,2
"monroe","indiana",141019,38524,660735,0
"monroe","iowa",8063,43913,6541,2
"monroe","kentucky",10821,28548,4205,0
"monroe","michigan",151048,55826,161950,8
"monroe","mississippi",36421,35102,10165,2
"monroe","missouri",8703,39495,2296,0
"monroe","new york",747813,52260,4720935,63
"monroe","ohio",14549,38811,4279,0
"monroe","pennsylvania",168798,57700,101099,12
"monroe","tennessee",45133,35096,20600,4
"monroe","west virginia",13463,39047,3189,0
"monroe","wisconsin",45100,48306,42406,2
"montague","texas",19565,43509,11259,1
"montcalm","michigan",63097,40068,48230,7
"monterey","california",426762,59737,245895,17
"montezuma","colorado",25431,45623,11805,0
"montgomery","alabama",230149,44587,14726707,11
"montgomery","arkansas",9340,34934,2675,0
"montgomery","georgia",8913,34933,0,0
"montgomery","illinois",29620,41925,13439,2
"montgomery","indiana",38254,47929,92967,2
"montgomery","iowa",10566,38072,9514,1
"montgomery","kansas",34459,40925,15952,4
"montgomery","kentucky",26902,37393,19600,3
"montgomery","maryland",1004709,95660,2392009,46
"montgomery","mississippi",10614,33087,3917,0
"montgomery","missouri",11996,40175,1701,0
"montgomery","new york",49941,43254,35738,2
"montgomery","north carolina",27668,32946,5482,1
"montgomery","ohio",534325,44585,1202935,11
"montgomery","pennsylvania",808460,78446,2470794,50
"montgomery","tennessee",184468,49695,165711,15
"montgomery","texas",485047,66657,539659,26
"montgomery","virginia",95194,44231,206102,3
"montmorency","michigan",9476,34490,3316,0
"montour","pennsylvania",18356,46421,79865,2
"montrose","colorado",40725,47479,25573,0
"moody","south dakota",6446,49016,3742,2
"moore","north carolina",90302,48348,129333,7
"moore","tennessee",6339,45950,3704,0
"moore","texas",22313,48394,8804,0
"mora","new mexico",4705,39792,2300,0
"morehouse","louisiana",27559,31269,9636,3
"morgan","alabama",120395,45564,84604,1
"morgan","colorado",28472,42792,10992,3
"morgan","georgia",17881,46918,18629,3
"morgan","illinois",35272,44731,20363,0
"morgan","indiana",69356,56315,49226,2
"morgan","kentucky",13668,29872,10084,0
"morgan","missouri",20117,36928,7534,5
"morgan","ohio",14911,35855,2296,0
"morgan","tennessee",21931,37130,9107,0
"morgan","utah",9821,76472,5751,0
"morgan","west virginia",17471,36703,12646,1
"morrill","nebraska",4889,42075,766,0
"morris","kansas",5854,44070,15217,0
"morris","new jersey",497999,98148,1832576,42
"morris","texas",12787,39698,2300,0
"morrison","minnesota",33052,46054,26886,2
"morrow","ohio",34938,50252,29619,2
"morrow","oregon",11244,46110,267617,2
"morton","kansas",3169,44263,6650,0
"morton","north dakota",28101,55196,8966,1
"motley","texas",1202,33281,0,0
"moultrie","illinois",14933,48982,16097,0
"mountrail","north dakota",8734,56593,12773,0
"mower","minnesota",39372,45596,14901,1
"muhlenberg","kentucky",31181,37440,14665,3
"multnomah","oregon",759256,50726,3405017,187
"murray","georgia",39392,37004,15417,2
"murray","minnesota",8577,47833,6374,0
"murray","oklahoma",13663,41403,13550,2
"muscatine","iowa",42879,51134,5354,6
"muscogee","georgia",198413,41088,194437,18
"muskegon","michigan",170182,40298,88633,0
"muskingum","ohio",85950,40590,115238,3
"muskogee","oklahoma",70596,37990,30006,3
"musselshell","montana",4665,38669,2039,0
"nacogdoches","texas",66034,35378,86045,9
"nance","nebraska",3715,43399,1530,0
"nantucket","massachusetts",10298,84979,8731,0
"napa","california",139045,68641,100317,30
"nash","north carolina",95708,45052,56378,7
"nassau","florida",74629,58933,41775,5
"nassau","new york",1349233,95823,2459993,49
"natchitoches","louisiana",39436,31830,24429,0
"natrona","wyoming",78621,53519,89718,9
"navajo","arizona",107094,38975,61587,16
"navarro","texas",47979,41074,26341,4
"nelson","kentucky",44319,45149,24534,4
"nelson","north dakota",3080,41961,2166,1
"nelson","virginia",14827,47426,9176,3
"nemaha","kansas",10132,47476,7140,1
"nemaha","nebraska",7154,41424,16625,0
"neosho","kansas",16406,38883,9404,1
"neshoba","mississippi",29785,36128,11373,0
"ness","kansas",3068,46417,1399,0
"nevada","arkansas",8925,38006,8,1
"nevada","california",98292,58077,75142,10
"new castle","delaware",546076,64158,18953788,41
"new hanover","north carolina",209234,48893,338399,0
"new haven","connecticut",862813,62497,877686,88
"new kent","virginia",19169,71198,15334,0
"new london","connecticut",274170,67010,354141,17
"new madrid","missouri",18488,34772,1398,0
"new york","new york",1619090,67204,12977872,6
"newaygo","michigan",47959,43864,37235,3
"newberry","south carolina",37576,42866,15492,0
"newport","rhode island",82036,69369,148043,7
"newport news","virginia",180726,50942,300626,17
"newton","arkansas",8086,29702,1529,3
"newton","georgia",101505,51691,60097,4
"newton","indiana",14044,48108,3752,0
"newton","mississippi",21601,37386,7621,1
"newton","missouri",59069,41873,35059,15
"newton","texas",14200,38409,2936,2
"nez perce","idaho",39531,44540,35930,5
"niagara","new york",215124,46599,123211,6
"nicholas","kentucky",7000,39586,1533,0
"nicholas","west virginia",26229,39636,12348,3
"nicollet","minnesota",32929,59877,79241,0
"niobrara","wyoming",2456,44875,6400,0
"noble","indiana",47582,47768,37455,2
"noble","ohio",14579,40239,2933,2
"noble","oklahoma",11522,43324,4122,0
"nobles","minnesota",21487,45552,11360,0
"nodaway","missouri",23419,38680,7723,2
"nolan","texas",14924,37177,49750,0
"norfolk","massachusetts",681845,83733,1588701,42
"norfolk","virginia",245782,43914,704715,26
"norman","minnesota",6634,43333,11755,2
"northampton","north carolina",21428,32090,4977,1
"northampton","pennsylvania",299267,60540,755518,19
"northampton","virginia",12226,36965,15089,0
"northumberland","pennsylvania",94428,39605,54956,1
"northumberland","virginia",12346,51256,13283,4
"norton","kansas",5612,37656,5099,0
"nottoway","virginia",15830,37507,5882,2
"nowata","oklahoma",10611,38459,766,0
"noxubee","mississippi",11218,21798,1953,1
"nuckolls","nebraska",4438,32444,1403,0
"nueces","texas",347691,44815,78385,1
"nye","nevada",42963,39740,20936,1
"oakland","michigan",1220657,66456,2766217,67
"obion","tennessee",31340,39671,14663,0
